filename,label
yaniv_1 copy.png,training
yaniv_2 copy.png,training
yaniv_3 copy.png,training
yaniv_4 copy.png,training
yaniv_5 copy.png,training
yaniv_6 copy.png,training
yaniv_7 copy.png,training
yaniv_8 copy.png,training
yaniv_9 copy.png,training
yaniv_10 copy.png,training
yaniv_11 copy.png,training
yaniv_12 copy.png,training
yaniv_13 copy.png,training
yaniv_14 copy.png,training
yaniv_15 copy.png,training
yaniv_16 copy.png,training
yaniv_17 copy.png,training
yaniv_18 copy.png,training
yaniv_19 copy.png,training
yaniv_20 copy.png,training
yaniv_21 copy.png,training
yaniv_22 copy.png,training
yaniv_23 copy.png,training
yaniv_24 copy.png,training
yaniv_25 copy.png,training
f42887_e_000 copy.png,exp
f42887_e_001 copy.png,exp
f42887_e_002 copy.png,exp
f42887_e_003 copy.png,exp
f42887_e_004 copy.png,exp
f42887_e_005 copy.png,exp
f42887_e_006 copy.png,exp
f42887_e_007 copy.png,exp
f42887_e_008 copy.png,exp
f42887_e_009 copy.png,exp
f42887_e_010 copy.png,exp
f42887_e_011 copy.png,exp
f42887_e_012 copy.png,exp
f42887_e_013 copy.png,exp
f42887_e_014 copy.png,exp
f42887_e_015 copy.png,exp
f42887_e_016 copy.png,exp
f42887_e_017 copy.png,exp
f42887_e_018 copy.png,exp
f42887_e_019 copy.png,exp
f42887_e_020 copy.png,exp
f42887_e_021 copy.png,exp
f42887_e_022 copy.png,exp
f42887_e_023 copy.png,exp
f42887_e_024 copy.png,exp
f42887_e_025 copy.png,exp
f42887_e_026 copy.png,exp
f42887_e_027 copy.png,exp
f42887_e_028 copy.png,exp
f42887_e_029 copy.png,exp
f42887_e_030 copy.png,exp
f42887_e_031 copy.png,exp
f42887_e_032 copy.png,exp
f42887_e_033 copy.png,exp
f42887_e_034 copy.png,exp
f42887_e_035 copy.png,exp
f42887_e_036 copy.png,exp
f42887_e_037 copy.png,exp
f42887_e_038 copy.png,exp
f42887_e_039 copy.png,exp
f42887_e_040 copy.png,exp
f42887_e_041 copy.png,exp
f42887_e_042 copy.png,exp
f42887_e_043 copy.png,exp
f42887_e_044 copy.png,exp
f42887_e_045 copy.png,exp
f42887_e_046 copy.png,exp
f42887_e_047 copy.png,exp
f42887_e_048 copy.png,exp
f42887_e_049 copy.png,exp
f42887_e_050 copy.png,exp
f42887_e_051 copy.png,exp
f42887_e_052 copy.png,exp
f42887_e_053 copy.png,exp
f42887_e_054 copy.png,exp
f42887_e_055 copy.png,exp
f42887_e_056 copy.png,exp
f42887_e_057 copy.png,exp
f42887_e_058 copy.png,exp
f42887_e_059 copy.png,exp
f42887_e_060 copy.png,exp
f42887_e_061 copy.png,exp
f42887_e_062 copy.png,exp
f42887_e_063 copy.png,exp
f42887_e_064 copy.png,exp
f42887_e_065 copy.png,exp
f42887_e_066 copy.png,exp
f42887_e_067 copy.png,exp
f42887_e_068 copy.png,exp
f42887_e_069 copy.png,exp
f42887_e_070 copy.png,exp
f42887_e_071 copy.png,exp
f42887_e_072 copy.png,exp
f42887_e_073 copy.png,exp
f42887_e_074 copy.png,exp
f42887_e_075 copy.png,exp
f42887_e_076 copy.png,exp
f42887_e_077 copy.png,exp
f42887_e_078 copy.png,exp
f42887_e_079 copy.png,exp
f42887_e_080 copy.png,exp
f42887_e_081 copy.png,exp
f42887_e_082 copy.png,exp
f42887_e_083 copy.png,exp
f42887_e_084 copy.png,exp
f42887_e_085 copy.png,exp
f42887_e_086 copy.png,exp
f42887_e_087 copy.png,exp
f42887_e_088 copy.png,exp
f42887_e_089 copy.png,exp
f42887_e_090 copy.png,exp
f42887_e_091 copy.png,exp
f42887_e_092 copy.png,exp
f42887_e_093 copy.png,exp
f42887_e_094 copy.png,exp
f42887_e_095 copy.png,exp
f42887_e_096 copy.png,exp
f42887_e_097 copy.png,exp
f42887_e_098 copy.png,exp
f42887_e_099 copy.png,exp
f42887_e_100 copy.png,exp
f42887_e_101 copy.png,exp
f42887_e_102 copy.png,exp
f42887_e_103 copy.png,exp
f42887_e_104 copy.png,exp
f42887_e_105 copy.png,exp
f42887_e_106 copy.png,exp
f42887_e_107 copy.png,exp
f42887_e_108 copy.png,exp
f42887_e_109 copy.png,exp
f42887_e_110 copy.png,exp
f42887_e_111 copy.png,exp
f42887_e_112 copy.png,exp
f42887_e_113 copy.png,exp
f42887_e_114 copy.png,exp
f42887_e_115 copy.png,exp
f42887_e_116 copy.png,exp
f42887_e_117 copy.png,exp
f42887_e_118 copy.png,exp
f42887_e_119 copy.png,exp
f42887_e_120 copy.png,exp
f42887_e_121 copy.png,exp
f42887_e_122 copy.png,exp
f42887_e_123 copy.png,exp
f42887_e_124 copy.png,exp
f42887_e_125 copy.png,exp
f42887_e_126 copy.png,exp
f42887_e_127 copy.png,exp
f42887_e_128 copy.png,exp
f42887_e_129 copy.png,exp
f42887_e_130 copy.png,exp
f42887_e_131 copy.png,exp
f42887_e_132 copy.png,exp
f42887_e_133 copy.png,exp
f42887_e_134 copy.png,exp
f42887_e_135 copy.png,exp
f42887_e_136 copy.png,exp
f42887_e_137 copy.png,exp
f42887_e_138 copy.png,exp
f42887_e_139 copy.png,exp
f42887_e_140 copy.png,exp
f42887_e_141 copy.png,exp
f42887_e_142 copy.png,exp
f42887_e_143 copy.png,exp
f42887_e_144 copy.png,exp
f42887_e_145 copy.png,exp
f42887_e_146 copy.png,exp
